CustomerID,LastPurchaseDate,TotalRevenue,TotalOrders,RecencyDays,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,2011-01-18 10:01:00,77556.46,12,325,12,77556.46,2,5,5,255,At Risk
12347.0,2011-12-07 15:52:00,4921.53,8,1,8,4921.53,5,4,5,545,Champions
12348.0,2011-09-25 13:13:00,2019.4,5,74,5,2019.4,3,4,4,344,Loyal Customers
12349.0,2011-11-21 09:51:00,4428.69,4,18,4,4428.69,5,3,5,535,Loyal Customers
12350.0,2011-02-02 16:01:00,334.4,1,309,1,334.4,2,1,2,212,Low Value
12351.0,2010-11-29 15:23:00,300.93,1,374,1,300.93,2,1,2,212,Low Value
12352.0,2011-11-03 14:37:00,2849.84,10,35,10,2849.84,4,5,4,454,Champions
12353.0,2011-05-19 17:47:00,406.76,2,203,2,406.76,2,2,2,222,Low Value
12354.0,2011-04-21 13:11:00,1079.4,1,231,1,1079.4,2,1,3,213,Low Value
12355.0,2011-05-09 13:49:00,947.61,2,213,2,947.61,2,2,3,223,Low Value
12356.0,2011-11-17 08:40:00,6371.73,6,22,6,6371.73,4,4,5,445,Champions
12357.0,2011-11-06 16:07:00,18287.66,3,32,3,18287.66,4,3,5,435,Loyal Customers
12358.0,2011-12-08 10:26:00,3887.07,5,1,5,3887.07,5,4,5,545,Champions
12359.0,2011-10-13 12:47:00,8873.39,10,57,10,8873.39,4,5,5,455,Champions
12360.0,2011-10-18 15:22:00,4252.89,8,51,8,4252.89,4,4,5,445,Champions
12361.0,2011-02-25 13:51:00,511.25,4,286,4,511.25,2,3,2,232,At Risk
12362.0,2011-12-06 15:40:00,5356.23,11,2,11,5356.23,5,5,5,555,Champions
12363.0,2011-08-22 10:18:00,552.0,2,109,2,552.0,3,2,2,322,Promising
12364.0,2011-12-02 10:22:00,1313.1,4,7,4,1313.1,5,3,4,534,Loyal Customers
12365.0,2011-02-21 14:04:00,641.38,2,290,2,641.38,2,2,3,223,Low Value
12366.0,2010-03-16 10:28:00,500.24,1,633,1,500.24,1,1,2,112,Low Value
12367.0,2011-12-05 16:48:00,168.9,1,3,1,168.9,5,1,1,511,New Customers
12368.0,2010-03-21 15:56:00,917.6999999999999,1,627,1,917.6999999999999,1,1,3,113,Low Value
12369.0,2010-10-22 13:13:00,1791.15,3,412,3,1791.15,1,3,4,134,At Risk
12370.0,2011-10-19 14:51:00,4316.56,7,50,7,4316.56,4,4,5,445,Champions
12371.0,2011-10-26 10:16:00,4067.38,5,44,5,4067.38,4,4,5,445,Champions
12372.0,2011-09-29 12:12:00,1298.04,3,71,3,1298.04,3,3,4,334,Loyal Customers
12373.0,2011-02-01 13:10:00,1127.65,3,310,3,1127.65,2,3,3,233,At Risk
12374.0,2011-11-14 15:37:00,2989.2200000000003,4,24,4,2989.2200000000003,4,3,5,435,Loyal Customers
12375.0,2011-11-29 10:36:00,457.5,2,10,2,457.5,5,2,2,522,New Customers
12376.0,2010-11-15 12:15:00,503.15,2,389,2,503.15,2,2,2,222,Low Value
12377.0,2011-01-28 15:45:00,3426.32,4,314,4,3426.32,2,3,5,235,At Risk
12378.0,2011-08-02 10:34:00,5416.32,2,129,2,5416.32,3,2,5,325,Promising
12379.0,2011-09-19 10:09:00,1620.22,4,81,4,1620.22,3,3,4,334,Loyal Customers
12380.0,2011-11-18 11:27:00,9676.300000000001,11,21,11,9676.300000000001,4,5,5,455,Champions
12381.0,2011-12-05 12:44:00,1845.31,5,4,5,1845.31,5,4,4,544,Champions
12383.0,2011-06-08 08:02:00,1850.56,5,184,5,1850.56,3,4,4,344,Loyal Customers
12384.0,2011-11-11 08:39:00,585.27,2,28,2,585.27,4,2,2,422,New Customers
12385.0,2010-11-25 15:14:00,1938.4,1,378,1,1938.4,2,1,4,214,Low Value
12386.0,2011-01-06 12:37:00,401.9,2,337,2,401.9,2,2,2,222,Low Value
12387.0,2010-10-20 16:27:00,143.94,1,414,1,143.94,1,1,1,111,Low Value
12388.0,2011-11-24 12:30:00,3901.11,8,15,8,3901.11,5,4,5,545,Champions
12389.0,2010-11-02 11:52:00,1433.33,3,402,3,1433.33,2,3,4,234,At Risk
12390.0,2011-09-21 09:33:00,549.84,1,79,1,549.84,3,1,2,312,Promising
12391.0,2011-11-18 12:07:00,2724.84,6,21,6,2724.84,4,4,4,444,Champions
12392.0,2010-04-27 14:04:00,234.75000000000003,1,590,1,234.75000000000003,1,1,1,111,Low Value
12393.0,2011-09-28 15:41:00,2399.4500000000003,6,71,6,2399.4500000000003,3,4,4,344,Loyal Customers
12394.0,2011-10-07 08:08:00,1272.48,2,63,2,1272.48,3,2,4,324,Promising
12395.0,2011-11-20 15:21:00,4721.17,15,18,15,4721.17,5,5,5,555,Champions
12396.0,2010-02-03 13:22:00,931.43,1,673,1,931.43,1,1,3,113,Low Value
12397.0,2011-11-04 09:52:00,2409.9,2,35,2,2409.9,4,2,4,424,New Customers
12398.0,2011-10-25 10:27:00,1635.6599999999999,1,45,1,1635.6599999999999,4,1,4,414,New Customers
12399.0,2011-08-12 13:15:00,1962.3,7,118,7,1962.3,3,4,4,344,Loyal Customers
12400.0,2010-10-21 13:45:00,205.25,1,413,1,205.25,1,1,1,111,Low Value
12401.0,2011-02-09 13:50:00,84.3,1,302,1,84.3,2,1,1,211,Low Value
12402.0,2011-01-20 13:49:00,1256.9,6,322,6,1256.9,2,4,4,244,At Risk
12403.0,2011-10-21 10:51:00,1019.36,2,49,2,1019.36,4,2,3,423,New Customers
12404.0,2010-01-26 16:25:00,63.24,1,681,1,63.24,1,1,1,111,Low Value
12405.0,2011-07-14 08:52:00,1710.39,1,148,1,1710.39,3,1,4,314,Promising
12406.0,2011-11-17 19:22:00,6390.36,5,21,5,6390.36,4,4,5,445,Champions
12407.0,2011-10-21 10:11:00,1708.1200000000001,5,49,5,1708.1200000000001,4,4,4,444,Champions
12408.0,2011-11-07 12:27:00,4340.7699999999995,8,32,8,4340.7699999999995,4,4,5,445,Champions
12409.0,2011-09-22 10:38:00,23419.29,7,78,7,23419.29,3,4,5,345,Loyal Customers
12410.0,2011-02-04 10:39:00,1013.71,3,308,3,1013.71,2,3,3,233,At Risk
12411.0,2010-10-26 09:25:00,346.9,1,409,1,346.9,2,1,2,212,Low Value
12412.0,2011-09-26 10:16:00,2596.93,6,74,6,2596.93,3,4,4,344,Loyal Customers
12413.0,2011-10-04 09:00:00,999.45,4,66,4,999.45,3,3,3,333,Loyal Customers
12414.0,2011-05-06 14:51:00,952.41,6,216,6,952.41,2,4,3,243,At Risk
12415.0,2011-11-15 14:22:00,144458.37,28,23,28,144458.37,4,5,5,455,Champions
12416.0,2010-02-21 10:19:00,202.56,1,656,1,202.56,1,1,1,111,Low Value
12417.0,2011-12-06 14:52:00,6797.41,20,2,20,6797.41,5,5,5,555,Champions
12418.0,2011-08-19 11:08:00,2021.2,4,112,4,2021.2,3,3,4,334,Loyal Customers
12419.0,2010-11-19 10:04:00,503.01,2,385,2,503.01,2,2,2,222,Low Value
12420.0,2011-10-07 08:55:00,600.39,1,63,1,600.39,3,1,2,312,Promising
12421.0,2011-11-24 09:07:00,1098.6,6,15,6,1098.6,5,4,3,543,Loyal Customers
12422.0,2011-09-05 09:48:00,5231.8,17,95,17,5231.8,3,5,5,355,Loyal Customers
12423.0,2011-12-09 10:10:00,2622.39,10,0,10,2622.39,5,5,4,554,Champions
12424.0,2011-06-30 12:06:00,3340.03,4,162,4,3340.03,3,3,5,335,Loyal Customers
12425.0,2011-09-22 17:31:00,1741.41,2,77,2,1741.41,3,2,4,324,Promising
12426.0,2011-05-29 12:26:00,1345.21,2,194,2,1345.21,2,2,4,224,Low Value
12427.0,2011-11-18 08:56:00,825.8,3,21,3,825.8,4,3,3,433,Loyal Customers
12428.0,2011-11-14 08:22:00,7956.46,9,25,9,7956.46,4,5,5,455,Champions
12429.0,2011-11-30 17:22:00,6204.41,8,8,8,6204.41,5,4,5,545,Champions
12430.0,2011-10-27 15:09:00,256.4,1,42,1,256.4,4,1,1,411,New Customers
12431.0,2011-11-04 11:55:00,10432.22,27,35,27,10432.22,4,5,5,455,Champions
12432.0,2011-10-28 11:43:00,5059.32,5,42,5,5059.32,4,4,5,445,Champions
12433.0,2011-12-09 10:02:00,16794.14,10,0,10,16794.14,5,5,5,555,Champions
12434.0,2011-09-16 12:38:00,1103.43,3,84,3,1103.43,3,3,3,333,Loyal Customers
12435.0,2011-09-21 09:06:00,13925.93,6,79,6,13925.93,3,4,5,345,Loyal Customers
12436.0,2011-09-01 12:09:00,509.01,1,99,1,509.01,3,1,2,312,Promising
12437.0,2011-12-08 11:35:00,12683.4,39,1,39,12683.4,5,5,5,555,Champions
12438.0,2011-11-25 13:28:00,2906.85,2,13,2,2906.85,5,2,4,524,New Customers
12439.0,2010-01-26 12:11:00,1142.88,2,682,2,1142.88,1,2,3,123,Need Attention
12440.0,2010-09-03 13:11:00,859.2,2,461,2,859.2,1,2,3,123,Need Attention
12441.0,2010-12-08 10:45:00,173.55,1,366,1,173.55,2,1,1,211,Low Value
12442.0,2011-12-06 14:22:00,172.06,1,2,1,172.06,5,1,1,511,New Customers
12443.0,2009-12-07 15:42:00,485.31,1,731,1,485.31,1,1,2,112,Low Value
12444.0,2011-11-18 13:23:00,5005.46,5,20,5,5005.46,4,4,5,445,Champions
12445.0,2011-11-17 18:43:00,434.98,2,21,2,434.98,4,2,2,422,New Customers
12446.0,2011-10-13 12:50:00,1002.3100000000001,1,57,1,1002.3100000000001,4,1,3,413,New Customers
12447.0,2011-04-10 13:25:00,476.49,1,242,1,476.49,2,1,2,212,Low Value
12448.0,2011-10-26 13:46:00,449.45,1,43,1,449.45,4,1,2,412,New Customers
12449.0,2011-11-17 13:46:00,4835.89,6,21,6,4835.89,4,4,5,445,Champions
12450.0,2011-07-06 14:41:00,688.2,5,155,5,688.2,3,4,3,343,Loyal Customers
12451.0,2011-11-29 08:40:00,12669.88,8,10,8,12669.88,5,4,5,545,Champions
12452.0,2011-11-23 10:28:00,430.57,2,16,2,430.57,5,2,2,522,New Customers
12453.0,2011-07-28 14:08:00,707.09,1,133,1,707.09,3,1,3,313,Promising
12454.0,2011-10-14 17:13:00,16679.78,5,55,5,16679.78,4,4,5,445,Champions
12455.0,2011-09-27 15:31:00,5879.95,10,72,10,5879.95,3,5,5,355,Loyal Customers
12456.0,2011-10-26 14:41:00,3181.04,3,43,3,3181.04,4,3,5,435,Loyal Customers
12457.0,2011-10-04 13:13:00,2995.91,8,65,8,2995.91,3,4,5,345,Loyal Customers
12458.0,2011-09-29 15:25:00,1777.49,4,70,4,1777.49,3,3,4,334,Loyal Customers
12459.0,2010-04-13 14:53:00,454.36,1,604,1,454.36,1,1,2,112,Low Value
12460.0,2010-09-09 13:51:00,326.65,1,455,1,326.65,1,1,2,112,Low Value
12461.0,2011-09-06 16:57:00,826.88,2,93,2,826.88,3,2,3,323,Promising
12462.0,2011-11-21 09:11:00,1189.59,2,18,2,1189.59,5,2,3,523,New Customers
12463.0,2011-10-17 13:44:00,1344.78,4,52,4,1344.78,4,3,4,434,Loyal Customers
12464.0,2011-11-29 13:33:00,1212.05,8,9,8,1212.05,5,4,3,543,Loyal Customers
12465.0,2011-11-22 16:34:00,742.1899999999999,2,16,2,742.1899999999999,5,2,3,523,New Customers
12466.0,2010-01-26 16:26:00,56.73,1,681,1,56.73,1,1,1,111,Low Value
12467.0,2010-10-12 15:41:00,132.8,1,422,1,132.8,1,1,1,111,Low Value
12468.0,2011-06-05 11:36:00,3670.74,5,187,5,3670.74,3,4,5,345,Loyal Customers
12469.0,2010-07-05 12:40:00,3070.54,2,522,2,3070.54,1,2,5,125,Need Attention
12470.0,2010-01-19 11:01:00,211.95,1,689,1,211.95,1,1,1,111,Low Value
12471.0,2011-12-07 15:43:00,39918.19,79,1,79,39918.19,5,5,5,555,Champions
12472.0,2011-11-07 14:01:00,16249.289999999999,19,31,19,16249.289999999999,4,5,5,455,Champions
12473.0,2011-11-10 13:46:00,3928.0499999999997,5,28,5,3928.0499999999997,4,4,5,445,Champions
12474.0,2011-11-22 14:39:00,12372.75,31,16,31,12372.75,5,5,5,555,Champions
12475.0,2011-10-17 10:10:00,1149.64,2,53,2,1149.64,4,2,3,423,New Customers
12476.0,2011-11-24 12:40:00,14083.91,23,15,23,14083.91,5,5,5,555,Champions
12477.0,2011-11-17 09:51:00,20276.37,9,22,9,20276.37,4,5,5,455,Champions
12478.0,2011-12-06 09:56:00,680.99,1,3,1,680.99,5,1,3,513,New Customers
12479.0,2011-11-28 13:26:00,527.2,1,10,1,527.2,5,1,2,512,New Customers
12480.0,2011-11-11 14:52:00,5464.85,7,27,7,5464.85,4,4,5,445,Champions
12481.0,2011-11-17 08:29:00,12185.51,15,22,15,12185.51,4,5,5,455,Champions
12482.0,2010-05-12 16:51:00,23691.4,29,575,29,23691.4,1,5,5,155,At Risk
12483.0,2011-11-22 17:02:00,5097.18,19,16,19,5097.18,5,5,5,555,Champions
12484.0,2011-11-07 11:37:00,6354.1,12,32,12,6354.1,4,5,5,455,Champions
12485.0,2010-06-28 15:22:00,708.1,1,528,1,708.1,1,1,3,113,Low Value
12486.0,2010-10-04 12:14:00,1037.28,1,431,1,1037.28,1,1,3,113,Low Value
12487.0,2009-12-09 11:36:00,285.29999999999995,1,730,1,285.29999999999995,1,1,1,111,Low Value
12488.0,2011-11-30 08:50:00,1298.66,3,9,3,1298.66,5,3,4,534,Loyal Customers
12489.0,2011-01-07 13:13:00,334.93,1,335,1,334.93,2,1,2,212,Low Value
12490.0,2011-12-04 16:07:00,9823.64,21,4,21,9823.64,5,5,5,555,Champions
12491.0,2011-11-01 12:18:00,460.40000000000003,1,38,1,460.40000000000003,4,1,2,412,New Customers
12492.0,2011-10-07 15:15:00,715.21,3,62,3,715.21,3,3,3,333,Loyal Customers
12493.0,2011-06-27 10:17:00,433.74,2,165,2,433.74,3,2,2,322,Promising
12494.0,2011-11-24 09:34:00,1815.27,9,15,9,1815.27,5,5,4,554,Champions
12495.0,2010-03-09 10:53:00,357.4,1,640,1,357.4,1,1,2,112,Low Value
12496.0,2010-03-29 14:06:00,45.34,2,619,2,45.34,1,2,1,121,Need Attention
12497.0,2011-09-19 12:29:00,6248.5,3,81,3,6248.5,3,3,5,335,Loyal Customers
12498.0,2011-11-18 12:53:00,403.70000000000005,3,20,3,403.70000000000005,4,3,2,432,Loyal Customers
12499.0,2010-05-28 15:12:00,393.72,1,559,1,393.72,1,1,2,112,Low Value
12500.0,2011-11-16 16:20:00,5955.21,19,22,19,5955.21,4,5,5,455,Champions
12501.0,2011-01-07 12:28:00,2169.39,1,336,1,2169.39,2,1,4,214,Low Value
12502.0,2011-09-05 11:52:00,3723.87,5,95,5,3723.87,3,4,5,345,Loyal Customers
12503.0,2010-05-04 13:59:00,1126.0,1,583,1,1126.0,1,1,3,113,Low Value
12504.0,2011-11-21 16:02:00,779.05,4,17,4,779.05,5,3,3,533,Loyal Customers
12505.0,2010-10-27 09:18:00,955.2,1,408,1,955.2,2,1,3,213,Low Value
12506.0,2011-04-21 08:54:00,73.5,1,232,1,73.5,2,1,1,211,Low Value
12507.0,2011-07-28 17:09:00,1844.06,4,133,4,1844.06,3,3,4,334,Loyal Customers
12508.0,2011-11-13 15:37:00,397.88,2,25,2,397.88,4,2,2,422,New Customers
12509.0,2011-02-28 14:45:00,176.5,1,283,1,176.5,2,1,1,211,Low Value
12510.0,2011-07-20 10:15:00,5178.02,9,142,9,5178.02,3,5,5,355,Loyal Customers
