Invoice,CustomerID,Country,InvoiceDateOnly,Revenue,Quantity
489434,13085.0,United Kingdom,2009-12-01,505.3,166
489435,13085.0,United Kingdom,2009-12-01,145.79999999999998,60
489436,13078.0,United Kingdom,2009-12-01,630.33,193
489437,15362.0,United Kingdom,2009-12-01,310.75,145
489438,18102.0,United Kingdom,2009-12-01,2286.24,826
489439,12682.0,France,2009-12-01,426.3,219
489440,18087.0,United Kingdom,2009-12-01,50.4,16
489441,18087.0,United Kingdom,2009-12-01,344.34000000000003,102
489442,13635.0,United Kingdom,2009-12-01,382.37,275
489443,14110.0,United Kingdom,2009-12-01,285.06,120
489444,12636.0,USA,2009-12-01,141.0,1
489445,17519.0,United Kingdom,2009-12-01,308.44,280
489446,13758.0,United Kingdom,2009-12-01,996.1,382
489447,12362.0,Belgium,2009-12-01,130.0,1
489448,15413.0,United Kingdom,2009-12-01,570.24,192
489450,16321.0,Australia,2009-12-01,196.10000000000002,100
489460,16167.0,United Kingdom,2009-12-01,485.79,977
489461,17865.0,United Kingdom,2009-12-01,589.33,379
489462,17592.0,United Kingdom,2009-12-01,148.3,38
489465,13767.0,United Kingdom,2009-12-01,1197.8000000000002,408
489488,17238.0,United Kingdom,2009-12-01,251.1,80
489505,15712.0,United Kingdom,2009-12-01,255.5,64
489514,15311.0,United Kingdom,2009-12-01,823.02,326
489517,16329.0,United Kingdom,2009-12-01,250.06,114
489519,17700.0,United Kingdom,2009-12-01,696.73,247
489520,14911.0,EIRE,2009-12-01,733.63,293
489522,15998.0,United Kingdom,2009-12-01,700.31,409
489523,12931.0,United Kingdom,2009-12-01,1160.0,800
489526,12533.0,Germany,2009-12-01,929.92,484
489529,17984.0,United Kingdom,2009-12-01,212.63,187
489531,14871.0,United Kingdom,2009-12-01,145.0,54
489532,13394.0,United Kingdom,2009-12-01,304.53000000000003,353
489533,16011.0,United Kingdom,2009-12-01,181.5,60
489536,16393.0,United Kingdom,2009-12-01,341.02,199
489537,14040.0,United Kingdom,2009-12-01,633.33,250
489539,15061.0,United Kingdom,2009-12-01,2887.14,1598
489540,12913.0,United Kingdom,2009-12-01,537.96,188
489542,15061.0,United Kingdom,2009-12-01,387.6,264
489544,14341.0,United Kingdom,2009-12-01,281.82,226
489545,17804.0,United Kingdom,2009-12-01,124.95,92
489546,14156.0,EIRE,2009-12-01,584.5,212
489547,13599.0,United Kingdom,2009-12-01,641.45,595
489550,14156.0,EIRE,2009-12-01,482.3,232
489552,17063.0,United Kingdom,2009-12-01,278.61,129
489556,15719.0,United Kingdom,2009-12-01,377.15,174
489557,12490.0,France,2009-12-01,603.94,442
489558,15793.0,United Kingdom,2009-12-01,291.58000000000004,154
489559,17056.0,United Kingdom,2009-12-01,128.60000000000002,26
489560,13526.0,United Kingdom,2009-12-01,859.0999999999999,1585
489561,14654.0,United Kingdom,2009-12-01,246.86,273
489562,17998.0,United Kingdom,2009-12-01,229.6,107
489564,13526.0,United Kingdom,2009-12-01,322.9,326
489566,17742.0,United Kingdom,2009-12-01,218.54999999999998,35
489567,15326.0,United Kingdom,2009-12-01,307.8,150
489569,14478.0,United Kingdom,2009-12-01,282.28,312
489571,15967.0,United Kingdom,2009-12-01,156.71,50
489572,17611.0,United Kingdom,2009-12-01,507.49,273
489573,15051.0,United Kingdom,2009-12-01,580.02,306
489574,13097.0,United Kingdom,2009-12-01,544.73,309
489575,13590.0,United Kingdom,2009-12-01,367.28000000000003,300
489576,15984.0,United Kingdom,2009-12-01,319.66,178
489579,16887.0,United Kingdom,2009-12-01,219.82,177
489580,12921.0,United Kingdom,2009-12-01,261.0,276
489581,15945.0,United Kingdom,2009-12-01,124.83000000000001,137
489582,14543.0,United Kingdom,2009-12-01,293.95,125
489584,18037.0,United Kingdom,2009-12-01,21.95,1
489585,15662.0,United Kingdom,2009-12-01,105.85,67
489586,15380.0,United Kingdom,2009-12-01,263.42,98
489590,13110.0,United Kingdom,2009-12-01,362.78000000000003,87
489593,12836.0,United Kingdom,2009-12-01,407.97,93
489594,15005.0,United Kingdom,2009-12-01,319.38,180
489598,16620.0,United Kingdom,2009-12-01,822.37,575
489599,12758.0,Portugal,2009-12-01,2454.68,1403
489606,17961.0,United Kingdom,2009-12-01,2.1,1
489611,15601.0,United Kingdom,2009-12-01,2.95,1
489613,13585.0,United Kingdom,2009-12-01,12.75,1
489617,13442.0,United Kingdom,2009-12-01,198.0,42
489634,13381.0,United Kingdom,2009-12-01,17.4,12
489635,16763.0,United Kingdom,2009-12-01,352.85,173
489637,17243.0,United Kingdom,2009-12-01,535.9,157
489639,14865.0,United Kingdom,2009-12-01,31.200000000000003,48
489640,17345.0,United Kingdom,2009-12-01,329.90999999999997,600
489641,13819.0,United Kingdom,2009-12-01,622.1,462
489644,15808.0,United Kingdom,2009-12-01,857.5400000000001,297
489645,17191.0,United Kingdom,2009-12-01,261.74,97
489650,13748.0,United Kingdom,2009-12-01,173.1,90
489652,15265.0,United Kingdom,2009-12-01,294.14,146
489654,15750.0,United Kingdom,2009-12-01,222.12,115
489656,17428.0,United Kingdom,2009-12-01,1237.3,401
489657,17428.0,United Kingdom,2009-12-01,55.2,32
489658,15485.0,United Kingdom,2009-12-01,828.09,249
489661,17246.0,United Kingdom,2009-12-01,23.48,34
489662,15485.0,United Kingdom,2009-12-01,73.75,25
489664,14061.0,United Kingdom,2009-12-01,374.43,57
489665,14108.0,United Kingdom,2009-12-01,252.3,118
489666,13648.0,United Kingdom,2009-12-01,263.09000000000003,203
489667,16563.0,United Kingdom,2009-12-01,538.46,221
489668,16701.0,United Kingdom,2009-12-01,378.12,198
489669,12842.0,United Kingdom,2009-12-02,397.20000000000005,168
489670,14302.0,United Kingdom,2009-12-02,114.60000000000001,28
489671,14135.0,United Kingdom,2009-12-02,740.3,966
489672,14831.0,United Kingdom,2009-12-02,772.65,421
489673,14831.0,United Kingdom,2009-12-02,61.099999999999994,34
489674,15602.0,United Kingdom,2009-12-02,261.3,266
489675,13777.0,United Kingdom,2009-12-02,4939.22,1930
489676,13777.0,United Kingdom,2009-12-02,1210.8,840
489677,14000.0,United Kingdom,2009-12-02,192.0,48
489678,16823.0,United Kingdom,2009-12-02,189.29999999999998,113
489679,16163.0,United Kingdom,2009-12-02,795.98,280
489680,17193.0,United Kingdom,2009-12-02,45.0,36
489681,17998.0,United Kingdom,2009-12-02,89.59,183
489682,15759.0,United Kingdom,2009-12-02,125.73,303
489683,16131.0,United Kingdom,2009-12-02,1317.97,721
489684,14560.0,United Kingdom,2009-12-02,266.6,116
489687,17087.0,United Kingdom,2009-12-02,221.53,113
489688,14894.0,United Kingdom,2009-12-02,299.70000000000005,54
489695,16202.0,United Kingdom,2009-12-02,306.95,121
489699,16700.0,United Kingdom,2009-12-02,401.7,238
489702,17511.0,United Kingdom,2009-12-02,3108.64,2020
489705,16700.0,United Kingdom,2009-12-02,17.0,4
489723,14299.0,United Kingdom,2009-12-02,2052.12,1339
489725,17949.0,United Kingdom,2009-12-02,216.0,300
489726,17949.0,United Kingdom,2009-12-02,750.0,200
489727,17949.0,United Kingdom,2009-12-02,900.0,450
489728,14799.0,United Kingdom,2009-12-02,180.45,349
489733,15311.0,United Kingdom,2009-12-02,168.0,48
489743,16550.0,United Kingdom,2009-12-02,538.77,320
489748,12980.0,United Kingdom,2009-12-02,754.2,84
489764,14425.0,United Kingdom,2009-12-02,223.1,82
489765,15353.0,United Kingdom,2009-12-02,271.74,88
489766,17818.0,United Kingdom,2009-12-02,124.78,86
489780,13654.0,United Kingdom,2009-12-02,159.98000000000002,90
