StockCode,Description,Revenue,Quantity,OrderCount
10002,INFLATABLE POLITICAL GLOBE ,6638.2699999999995,8479,297
10080,GROOVY CACTUS INFLATABLE,124.60999999999999,303,26
10109,BENDY COLOUR PENCILS,1.68,4,1
10120,DOGGY RUBBER,136.07999999999998,648,62
10123C,HEARTS WRAPPING TAPE ,226.76000000000002,628,46
10123G,ARMY CAMO WRAPPING TAPE,157.18,2246,12
10124A,SPOTS ON RED BOOKCOVER TAPE,24.36,58,18
10124G,ARMY CAMO BOOKCOVER TAPE,13.44,32,9
10125,MINI FUNKY DESIGN TAPES,1562.7,1970,120
10133,COLOURING PENCILS BROWN TUBE,1910.79,3307,203
10134,COLOURING PENCILS BROWN TUBE,702.3,612,48
10135,COLOURING PENCILS BROWN TUBE,4048.14,3887,249
10138,ASSORTED COLOUR JUMBO PEN,103.74,247,16
11001,ASSTD DESIGN RACING CAR PEN,6608.8099999999995,4273,178
15030,FAN BLACK FRAME ,73.66,254,26
15034,PAPER POCKET TRAVELING FAN ,1156.1200000000001,9818,172
15036,ASSORTED COLOURS SILK FAN,28766.32,40994,634
15039,SANDALWOOD FAN,2848.9,4146,180
15044A,PINK PAPER PARASOL ,12803.779999999999,4894,194
15044B,BLUE PAPER PARASOL ,4376.400000000001,1624,148
15044C,PURPLE PAPER PARASOL,2428.5,862,160
15044D,RED PAPER PARASOL,4252.84,1544,188
15056BL,EDWARDIAN PARASOL BLACK,45885.07,9351,788
15056N,EDWARDIAN PARASOL NATURAL,54332.61,10948,863
15056P,EDWARDIAN PARASOL PINK,11872.810000000001,2436,321
15058A,BLUE POLKADOT GARDEN PARASOL,1104.6,148,51
15058A,BLUE WHITE SPOTS GARDEN PARASOL,1394.45,271,55
15058B,PINK POLKADOT GARDEN PARASOL,913.95,121,44
15058B,PINK WHITE SPOTS GARDEN PARASOL,1007.0,180,47
15058C,ICE CREAM DESIGN GARDEN PARASOL,1963.35,413,71
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1515.0,505,1
15060B,FAIRY CAKE DESIGN UMBRELLA,4138.17,1137,274
16008,SMALL FOLDING SCISSOR(POINTED EDGE),422.96,3141,85
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.84,32,4
16011, ANIMAL STICKERS,80.85,385,12
16011,ANIMAL STICKERS,718.47,3427,100
16012,FOOD/DRINK SPONGE STICKERS,444.78,2118,62
16012,FOOD/DRINK SPUNGE STICKERS,158.19,759,20
16014,SMALL CHINESE STYLE SCISSOR,9512.68,29354,92
16015,MEDIUM CHINESE STYLE SCISSOR,711.38,1572,65
16016,LARGE CHINESE STYLE SCISSOR,1864.75,2307,105
16020C,CLEAR STATIONERY BOX SET ,69.69999999999999,82,24
16033,MINI HIGHLIGHTER PENS,1530.12,15001,49
16043,POP ART PUSH DOWN RUBBER ,179.04,2142,12
16044,POP-ART FLUORESCENT PENS,388.8,6192,2
16045,POPART WOODEN PENCILS ASST,428.0,9300,72
16046,TEATIME PEN CASE & PENS,1043.53,9949,45
16047,POP ART PEN CASE & PENS,1015.59,10587,23
16048,TEATIME ROUND PENCIL SHARPENER ,498.65999999999997,3413,69
16049,TEATIME GEL PENS ASST,542.88,3144,25
16050,TEATIME PENCIL WITH RUBBER,30.5,122,4
16051,TEATIME PENCIL W STAMP ASST,82.2,938,3
16052,TEATIME PUSH DOWN RUBBER,249.35,810,21
16053,POPART COL BALLPOINT PEN ASST,182.58,4298,8
16054,POPART RECT PENCIL SHARPENER ASST,156.9,1205,37
16119,FUNKY GIRL ADDRESS BOOK,128.21,271,7
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,11.25,3,2
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3
16156L,WRAP CAROUSEL,157.5,375,14
16156L,"WRAP, CAROUSEL",241.5,575,22
16156N,"WRAP, FRIENDSHIP ON GREEN",609.0,1450,55
16156S,WRAP PINK FAIRY CAKES ,6527.12,16586,417
16161C,WRAP SPEED DEMONS ,45.0,450,2
16161E,WRAP BOUDOIR ,75.0,750,9
16161G,WRAP BAD HAIR DAY,97.5,975,33
16161M,WRAP  PINK FLOCK,439.0,1050,39
16161P,WRAP ENGLISH ROSE ,5435.4,13198,440
16161U,WRAP SUKI AND FRIENDS,2721.92,6676,208
16161U,"WRAP,SUKI AND FRIENDS",1352.5,3325,109
16162L,THE KING GIFT BAG,553.7900000000001,8083,17
16162M,THE KING GIFT BAG 25x24x12cm,36.12,86,12
16168M,FUNKY MONKEY GIFT BAG MEDIUM,425.16,1578,53
16168S,FUNKY MONKEY GIFT BAG SMALL,121.85999999999999,1274,7
16169A,WRAP CHRISTMAS DECOUPAGE,10.5,25,1
16169C,WRAP BLUE REINDEER,567.0,1350,43
16169D,WRAP WINTER FOREST,105.0,250,9
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,149
16169F,WRAP BLIZZARD,409.5,975,34
16169G,WRAP ROMANTIC DECOUPAGE,10.5,25,1
16169K,WRAP FOLK ART,648.25,2050,59
16169M,WRAP DAISY CARPET ,640.95,2060,59
16169N,WRAP BLUE RUSSIAN FOLKART,626.25,2025,56
16169P,WRAP GREEN RUSSIAN FOLKART ,533.75,1750,48
16201A,PASTEL PINK PHOTO ALBUM,199.8,100,8
16201B,PASTEL BLUE PHOTO ALBUM,46.8,24,2
16202A,PASTEL PINK PHOTO ALBUM ,266.45,660,19
16202B,PASTEL BLUE PHOTO ALBUM ,469.21,1034,18
16202C,BEIGE PHOTO ALBUM,201.29999999999998,94,10
16202E,BLACK PHOTO ALBUM ,150.6,81,13
16206B,RED PURSE WITH PINK HEART,116.4,96,16
16207A,PINK STRAWBERRY HANDBAG ,162.25000000000003,55,19
16207B,PINK HEART RED HANDBAG,315.96000000000004,211,13
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,232.05,357,30
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,5.2,8,3
16216,LETTER SHAPE PENCIL SHARPENER,358.18,4135,78
16218,CARTOON  PENCIL SHARPENERS,375.6,4525,70
16219,HOUSE SHAPE PENCIL SHARPENER,371.01,3206,66
16225,RATTLE SNAKE EGGS,1078.64,1420,112
16235,RECYCLED PENCIL WITH RABBIT ERASER,1031.58,5088,160
16236,KITTY PENCIL ERASERS,503.65,2425,143
16237,SLEEPING CAT ERASERS,1959.3,9730,340
16238,PARTY TIME PENCIL ERASERS,469.42,2232,135
16239,BALLERINA HEART DECORATION.,468.4,338,13
16243B,BROWN COZY SQUARE PHOTO ALBUM,399.75,205,1
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,293.0,142,6
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,612.85,309,8
16245A,PINK MINI STATIONERY SET W CASE,13.75,11,7
16248B,BLUE HOLE PUNCH,101.25,81,12
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,258.36,912,19
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,207.06,493,20
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,70.98,169,10
